commit	primary_metric	status	description
exp-048	0.662912	discard	hgb_rand_048 lr=0.05 iter=250 leaf=7 minleaf=5 l2=1.0 feat=0.7 bins=128
exp-049	0.664921	discard	hgb_rand_049 lr=0.08 iter=200 leaf=15 minleaf=15 l2=0.0 feat=1.0 bins=255
exp-050	0.656399	discard	hgb_rand_050 lr=0.06 iter=300 leaf=63 minleaf=5 l2=0.1 feat=1.0 bins=128
exp-051	0.654106	discard	hgb_rand_051 lr=0.05 iter=400 leaf=63 minleaf=15 l2=0.5 feat=1.0 bins=128
exp-052	0.668878	keep	hgb_rand_052 lr=0.08 iter=700 leaf=15 minleaf=30 l2=1.0 feat=0.7 bins=255
exp-053	0.658213	discard	hgb_rand_053 lr=0.04 iter=400 leaf=63 minleaf=30 l2=1.0 feat=1.0 bins=128
exp-054	0.664656	discard	hgb_rand_054 lr=0.1 iter=300 leaf=15 minleaf=50 l2=0.0 feat=0.7 bins=128
exp-055	0.663416	discard	hgb_rand_055 lr=0.04 iter=400 leaf=15 minleaf=10 l2=0.0 feat=0.5 bins=64
exp-056	0.665619	discard	hgb_rand_056 lr=0.08 iter=900 leaf=15 minleaf=50 l2=0.5 feat=0.7 bins=255
exp-057	0.655633	discard	hgb_rand_057 lr=0.02 iter=150 leaf=63 minleaf=10 l2=0.01 feat=1.0 bins=255
exp-058	0.662199	discard	hgb_rand_058 lr=0.1 iter=200 leaf=15 minleaf=20 l2=1.0 feat=1.0 bins=128
exp-059	0.665845	discard	hgb_rand_059 lr=0.1 iter=700 leaf=15 minleaf=50 l2=0.5 feat=0.7 bins=128
exp-060	0.660634	discard	hgb_rand_060 lr=0.04 iter=900 leaf=31 minleaf=20 l2=0.0 feat=1.0 bins=128
exp-061	0.665964	discard	hgb_rand_061 lr=0.02 iter=500 leaf=15 minleaf=10 l2=0.01 feat=0.7 bins=64
exp-062	0.660426	discard	hgb_rand_062 lr=0.08 iter=700 leaf=31 minleaf=30 l2=0.5 feat=0.7 bins=32
exp-063	0.654379	discard	hgb_rand_063 lr=0.08 iter=150 leaf=63 minleaf=5 l2=0.1 feat=0.7 bins=255
exp-064	0.664139	discard	hgb_rand_064 lr=0.1 iter=300 leaf=15 minleaf=15 l2=0.5 feat=0.7 bins=32
exp-065	0.658509	discard	hgb_rand_065 lr=0.03 iter=700 leaf=63 minleaf=10 l2=1.0 feat=1.0 bins=32
exp-066	0.663120	discard	hgb_rand_066 lr=0.02 iter=150 leaf=63 minleaf=10 l2=0.5 feat=0.5 bins=32
exp-067	0.658634	discard	hgb_rand_067 lr=0.1 iter=300 leaf=31 minleaf=15 l2=0.5 feat=0.7 bins=255
exp-068	0.662586	discard	hgb_rand_068 lr=0.015 iter=150 leaf=31 minleaf=10 l2=0.0 feat=1.0 bins=32
exp-069	0.664748	discard	hgb_rand_069 lr=0.03 iter=150 leaf=15 minleaf=10 l2=0.5 feat=1.0 bins=32
exp-070	0.662993	discard	hgb_rand_070 lr=0.06 iter=400 leaf=15 minleaf=30 l2=1.0 feat=1.0 bins=32
exp-071	0.656390	discard	hgb_rand_071 lr=0.05 iter=150 leaf=63 minleaf=20 l2=0.01 feat=0.5 bins=64
exp-072	0.663315	discard	hgb_rand_072 lr=0.015 iter=200 leaf=31 minleaf=30 l2=0.5 feat=1.0 bins=128
exp-073	0.660905	discard	hgb_rand_073 lr=0.015 iter=500 leaf=63 minleaf=20 l2=0.0 feat=0.7 bins=128
exp-074	0.662155	discard	hgb_rand_074 lr=0.08 iter=250 leaf=15 minleaf=50 l2=1.0 feat=1.0 bins=128
exp-075	0.661296	discard	hgb_rand_075 lr=0.08 iter=900 leaf=31 minleaf=15 l2=0.01 feat=0.5 bins=128
exp-076	0.664123	discard	hgb_rand_076 lr=0.06 iter=700 leaf=7 minleaf=20 l2=0.1 feat=0.5 bins=255
exp-077	0.664745	discard	hgb_rand_077 lr=0.05 iter=500 leaf=31 minleaf=30 l2=0.0 feat=1.0 bins=64
exp-078	0.662197	discard	hgb_rand_078 lr=0.1 iter=700 leaf=15 minleaf=50 l2=0.5 feat=1.0 bins=255
exp-079	0.654090	discard	hgb_rand_079 lr=0.04 iter=400 leaf=63 minleaf=50 l2=0.01 feat=0.7 bins=128
exp-080	0.660612	discard	hgb_rand_080 lr=0.08 iter=500 leaf=31 minleaf=15 l2=0.5 feat=0.7 bins=128
exp-081	0.661624	discard	hgb_rand_081 lr=0.06 iter=300 leaf=7 minleaf=50 l2=1.0 feat=1.0 bins=64
exp-082	0.663336	discard	hgb_rand_082 lr=0.05 iter=900 leaf=31 minleaf=5 l2=0.01 feat=0.7 bins=64
exp-083	0.661882	discard	hgb_rand_083 lr=0.03 iter=150 leaf=31 minleaf=5 l2=0.0 feat=1.0 bins=128
exp-084	0.663069	discard	hgb_rand_084 lr=0.02 iter=900 leaf=7 minleaf=30 l2=0.1 feat=0.7 bins=255
exp-085	0.655963	discard	hgb_rand_085 lr=0.05 iter=150 leaf=63 minleaf=5 l2=0.0 feat=0.7 bins=255
